pol-ru,pol-en
Eвкуров Юнус-Бек Баматгиреевич,Yevkurov Yunus-bek Bamatgireevich
Абрамов Александр Сергеевич,Abramov Aleksandr Sergeevich
Абрамович Роман Аркадьевич,Abramovich Roman Arkadyevich
Абрамченко Виктория Валериевна,Abramchenko Victoria Valeriyevna
Абызов Михаил Анатольевич,Abyzov Mikhail Anatolyevich
Авдеев Александр Алексеевич,Avdeev Aleksandr Alekseevich
Авен Петр Олегович,Aven Pyotr Olegovich
Акимов Максим Алексеевич,Akimov Maksim Alekseevich
Аксенов Сергей Валерьевич,Aksyonov Sergei Valeryevich
Аксёнов Сергей Валерьевич,Aksyonov Sergei Valeryevich
Алекперов Вагит Юсуфович,Alekperov Vagit Yusufovich
Алексий II,Aleksy II
Алешин Борис Сергеевич,Aleshin Boris Sergeevich
Артемьев Игорь Юрьевич,Artemyev Igor Yuryevich
Артюхин Роман Анатольевич,Artyukhin Roman Anatolyevich
Артюхин Роман Евгеньевич,Artyukhin Roman Yevgenyevich
Бабаков Александр Михайлович,Babakov Aleksandr Mikhailovich
Бабич Михаил Викторович,Babich Mikhail Viktorovich
Балуевский Юрий Николаевич,Baluevsky Yuri Nikolaevich
Басаргин Виктор Федорович,Basargin Viktor Fyodorovich
Бастрыкин Александр Иванович,Bastrykin Aleksandr Ivanovich
Баталина Ольга Юрьевна,Batalina Olga Yurevna
Беглов Александр Дмитриевич,Beglov Aleksandr Dimitrievich
Белозеров Олег Валентинович,Belozerov Oleg Valentinovich
Белоусов Андрей Рэмович,Belousov Andrei Removich
Бельянинов Андрей Юрьевич,Belyaninov Andrei Yuryevich
Богданчиков Сергей Михайлович,Bogdanchikov Sergei Mikhailovich
Боос Георгий Валентинович,Boos Georgy Valentinovich
Борисов Юрий Иванович,Borisov Yuri Ivanovich
Бортников Александр Васильевич,Bortnikov Aleksandr Vasilyevich
Бочаров Андрей Иванович,Bocharov Andrei Ivanovich
Бречалов Александр Владимирович,Brechalov Aleksandr Vladimirovich
Брычева Лариса Игоревна,Brycheva Larisa Igorevna
Вайно Антон Эдуардович,Vaino Anton Eduardovich
Вайншток Семен Михайлович,Vainshtok Semyon Mikhailovich
Васильев Владимир Абдуалиевич,Vasilyev Vladimir Abdualievich
Васильева Ольга Юрьевна,Vasilyeva Olga Yurevna
Вексельберг Виктор Феликсович,Vekselberg Viktor Feliksovich
Винниченко Николай Александрович,Vinnichenko Nikolai Aleksandrovich
Володин Вячеслав Викторович,Volodin Vyacheslav Viktorovich
Волошин Александр Стальевич,Voloshin Aleksandr Stalyevich
Воробьев Андрей Юрьевич,Vorobyev Andrei Yuryevich
Воронова Татьяна Геннадьевна,Voronova Tatyana Gennadyevna
Вуколов Всеволод Львович,Vukolov Vsevolod Lvovich
Вьюгин Олег Вячеславович,Vyugin Oleg Vyacheslavovich
Галушка Александр Анатольевич,Galushka Aleksandr Anatolyevich
Герасимов Валерий Васильевич,Gerasimov Valery Vasilyevich
Глазьев Сергей Юрьевич,Glazyev Sergei Yuryevich
Говорун Олег Маркович,Govorun Oleg Markovich
Голикова Татьяна Алексеевна,Golikova Tatyana Alekseevna
Голикова Татьяна Алексеевна,Golikova Tatyana Alekseevna
Голикова Татьяна Алексеевна,Golikova Tatyana Alekseevna
Голикова Татьяна Алексеевна,Golikova Tatyana Alekseevna
Голодец Ольга Юрьевна,Golodets Olga Yurevna
Гордеев Алексей Васильевич,Gordeev Aleksei Vasilyevich
Греф Герман Оскарович,Gref German Oskarovich
Григоренко Дмитрий Юрьевич,Grigorenko Dmitry Yuryevich
Громов Алексей Алексеевич,Gromov Aleksei Alekseevich
Громов Борис Всеволодович,Gromov Boris Vsevolodovich
Грудинин Павел Николаевич,Grudinin Pavel Nikolaevich
Грызлов Борис Вячеславович,Gryzlov Boris Vyacheslavovich
Гурьев Андрей Григорьевич,Gurev Andrei Grigoryevich
Дворкович Аркадий Владимирович,Dvorkovich Arkady Vladimirovich
Дергунова Ольга Константиновна,Dergunova Olga Konstantinovna
Дерипаска Олег Владимирович,Deripaska Oleg Vladimirovich
Дитрих Евгений Иванович,Dietrich Yevgeny Ivanovich
Дмитриев Владимир Александрович,Dimitriev Vladimir Aleksandrovich
Добродеев Олег Борисович,Dobrodeev Oleg Borisovich
Донской Сергей Ефимович,Donskoy Sergei Efimovich
Дюмин Алексей Геннадьевич,Dyumin Aleksei Gennadyevich
Евкуров Юнус-Бек Баматгиреевич,Yevkurov Yunus-bek Bamatgireevich
Евтушенков Владимир Петрович,Yevtushenkov Vladimir Petrovich
Железняк Сергей Владимирович,Zheleznyak Sergei Vladimirovich
Жириновский Владимир Вольфович,Zhirinovsky Vladimir Volfovich
Жуков Александр Дмитриевич,Zhukov Aleksandr Dmitriyevich
Зеленин Дмитрий Вадимович,Zelenin Dmitry Vadimovich
Земский Алексей Владимирович,Zemsky Aleksei Vladimirovich
Зиничев Евгений Николаевич,Zinichev Yevgeny Nikolaevich
Золотов Виктор Васильевич,Zolotov Viktor Vasilyevich
Зорькин Валерий Дмитриевич,Zorkin Valery Dmitriyevich
Зубков Виктор Алексеевич,Zubkov Viktor Alekseevich
Зурабов Михаил Юрьевич,Zurabov Mikhail Yuryevich
Зюганов Геннадий Андpеевич,Zyuganov Gennady Andreevich
Зюганов Геннадий Андреевич,Zyuganov Gennady Andreevich
Иванов Антон Александрович,Ivanov Anton Aleksandrovich
Иванов Виктор Петрович,Ivanov Viktor Petrovich
Иванов Игорь Сергеевич,Ivanov Igor Sergeevich
Иванов Сергей Борисович,Ivanov Sergei Borisovich
Игнатьев Сергей Михайлович,Ignatyev Sergei Mikhailovich
Исаев Андрей Константинович,Isaev Andrei Konstantinovich
Исхаков Камиль Шамильевич,Iskhakov Kamil Shamilyevich
Ишаев Виктор Иванович,Ishaev Viktor Ivanovich
Кадыров Рамзан Ахматович,Kadyrov Ramzan Akhmatovich
Казьмин Андрей Ильич,Kazmin Andrei Ilyich
Калимулин Дмитрий Рафаэльевич,Kalimulin Dmitry Rafaelevich
Катанандов Сергей Леонидович,Katanandov Sergei Leonidovich
Кириенко Сергей Владиленович,Kiriyenko Sergei Vladilenovich
Кирилл (Патриарх Московский и всея Руси),Kirill (Patriarch of Moscow and all Rus)
Кирилл (патриарх Московский и всея Руси),Kirill (Patriarch of Moscow and all Rus)
Кирилл (патриарх Московский и всея Руси),Kirill (Patriarch of Moscow and all Rus)
Кирилл,Kirill (Patriarch of Moscow and all Rus)
Клебанов Илья Иосифович,Klebanov Ilya Iosifovich
Климент (митрополит Калужский и Боровский),Kliment (Metropolitan of Kaluga and Borovsk)
Кобылкин Дмитрий Николаевич,Kobylkin Dmitry Nikolaevich
Ковальчук Михаил Валентинович,Kovalchuk Mikhail Valentinovich
Ковальчук Юрий Валентинович,Kovalchuk Yuri Valentinovich
Кожин Владимир Игоревич,Kozhin Vladimir Igorevich
Козак Дмитрий Николаевич,Kozak Dmitry Nikolaevich
Козлов Александр Александрович,Kozlov Aleksandr Aleksandrovich
Колокольцев Владимир Александрович,Kolokoltsev Vladimir Aleksandrovich
Колокольцев Владимир Александрович,Kolokoltsev Vladimir Aleksandrovich
Колокольцев Владимир Александрович,Kolokoltsev Vladimir Aleksandrovich
Коновалов Александр Владимирович,Konovalov Aleksandr Vladimirovich
Кончев Дмитрий Викторович,Konchev Dmitry Viktorovich
Королев Сергей Борисович,Korolev Sergei Borisovich
Косачев Константин Иосифович,Kosachev Konstantin Iosifovich
Костин Андрей Леонидович,Kostin Andrei Leonidovich
Костин Константин Николаевич,Kostin Konstantin Nikolaevich
Котюков Михаил Михайлович,Kotyukov Mikhail Mikhailovich
Кравцов Сергей Сергеевич,Kravtsov Sergei Sergeevich
Крайний Андрей Анатольевич,Krаiny Andrei Anatolyevich
Краснов Игорь Викторович,Krasnov Igor Viktorovich
Крашенинников Павел Владимирович,Krasheninnikov Pavel Vladimirovich
Кудрин Алексей Леонидович,Kudrin Aleksei Leonidovich
Кузнецова Анна Юрьевна,Kuznetsova Anna Yuryevna
Куйвашев Евгений Владимирович,Kuivashev Yevgeny Vladimirovich
Кулистиков Владимир Михайлович,Kulistikov Vladimir Mikhailovich
Куренков Александр Вячеславович,Kurenkov Aleksandr Vyacheslavovich
Лавров Сергей Викторович,Lavrov Sergei Viktorovich
Латышев Петр Михайлович,Latyshev Pyotr Mikhailovich
Лебедев Вячеслав Михайлович,Lebedev Vyacheslav Mikhailovich
Лебедев Сергей Николаевич,Lebedev Sergei Nikolaevich
Левитин Игорь Евгеньевич,Levitin Igor Yevgenyevich
Ливанов Дмитрий Викторович,Livanov Dmitry Viktorovich
Лисин Владимир Сергеевич,Lisin Vladimir Sergeevich
Лужков Юpий Михайлович,Luzhkov Yuri Mikhailovich
Любимова Ольга Борисовна,Lyubimova Olga Borisovna
Макаров Николай Егорович,Makarov Nikolai Yegorovich
Мантуров Денис Валентинович,Manturov Denis Valentinovich
Маргелов Михаил Витальевич,Margelov Mikhail Vitalyevich
Марков Олег Александрович,Markov Oleg Aleksandrovich
Матвиенко Валентина Ивановна,Matvienko Valentina Ivanovna
Матыцин Олег Васильевич,Matytsin Oleg Vasilyevich
Медведев Дмитрий Анатольевич,Medvedev Dmitry Anatolyevich
Мединский Владимир Ростиславович,Medinsky Vladimir Rostislavovich
Мельников Иван Иванович,Melnikov Ivan Ivanovich
Мемезов Сергей Викторович,Memezov Sergei Viktorovich
Мень Михаил Александрович,Men Mikhail Aleksandrovich
Миллер Алексей Борисович,Miller Aleksei Borisovich
Миловидов Владимир Дмитриевич,Milovidov Vladimir Dmitrievich
Минниханов Рустам Нургалиевич,Minnikhanov Rustam Nurgalievich
Миронов Сергей Михайлович,Mironov Sergei Mikhailovich
Михельсон Леонид Викторович,Mikhelson Leonid Viktorovich
Мишустин Михаил Владимирович,Mishustin Mikhail Vladimirovich
Мордашов Алексей Александрович,Mordashov Aleksei Aleksandrovich
Морозов Олег Викторович,Morozov Oleg Viktorovich
Мурашко Михаил Альбертович,Murashko Mikhail Albertovich
Муров Евгений Алексеевич,Murov Yevgeny Alekseevich
Мутко Виталий Леонтьевич,Mytko Vitaly Leontyevich
Набиуллина Эльвира Сахипзадовна,Nabiullina Elvira Sakhipzadovna
Набиуллина Эльвира Сахипзадовна,Nabiullina Elvira Sakhipzadovna
Набиуллина Эльвира Сахипзадовна,Nabiullina Elvira Sakhipzadovna
Навальный Алексей Анатольевич,Navalny Aleksei Anatolyevich
Нарышкин Сергей Евгеньевич,Naryshkin Sergei Yevgenyevich
Неверов Сергей Иванович,Neverov Sergei Ivanovich
Немцов Борис Ефимович,Nemtsov Boris Efimovich
Нерадько Александр Васильевич,Neradko Aleksandr Vasilyevich
Нерадько Александр васильевич,Neradko Aleksandr Vasilyevich
Никифоров Николай Анатольевич,Nikiforov Nikolai Anatolyevich
Новак Александр Валентинович,Novak Aleksandr Valentinovich
Носков Константин Юрьевич,Noskov Konstantin Yuryevich
Нургалиев Рашид Гумарович,Nurgaliev Rashid Gumarovich
Оверчук Алексей Логвинович,Overchuk Aleksei Logvinovich
Онищенко Геннадий Григорьевич,Onishchenko Gennady Grigoryevich
Орешкин Максим Станиславович,Oreshkin Maksim Stanislavovich
Пpимаков Евгений Максимович,Primakov Yevgeny Maksimovich
Памфилова Элла Александровна,Pamfilova Ella Aleksandrovna
Патрушев Дмитрий Николаевич,Patrushev Dmitry Nikolaevich
Патрушев Николай Платонович,Patrushev Nikolai Platonovich
Перминов Сергей Николаевич,Perminov Sergei Nikolaevich
Песков Дмитрий Сергеевич,Peskov Dmitry Sergeevich
Пехтин Владимир Алексеевич,Pekhtin Vladimir Alekseevich
Плигин Владимир Николаевич,Pligin Vladimir Nikolaevich
Поллыева Джахан Реджеповна,Pollyeva Jahan Redzhepovna
Полтавченко Георгий Сергеевич,Poltavchenko Georgy Sergeevich
Потанин Владимир Олегович,Potanin Vladimir Olegovich
Пригожин Евгений Викторович,Prigozhin Yevgeny Viktorovich
Примаков Евгений Максимович,Primakov Yevgeny Maksimovich
Приходько Сергей Эдуардович,Prikhodko Sergei Eduardovich
Прохоров Михаил Дмитриевич,Prokhorov Mikhail Dmitrievich
Пугачев Сергей Борисович,Pugachev Sergei Borisovich
Пугачев Сергей Викторович,Pugachev Sergei Viktorovich
Путин Владимир Владимирович,Putin Vladimir Vladimirovich
Пучков Владимир Андреевич,Puchkov Vladimir Andreevich
Ракова Анастасия Владимировна,Rakova Anastasia Vladimirovna
Рапота Григорий Алексеевич,Rapota Grigory Alekseevich
Рахимов Муртаза Губайдуллович,Rakhimov Murtaza Gubaydullovich
Резник Владислав Матусович,Reznik Vladislav Matusovich
Рейман Леонид Дододжонович,Reiman Leonid Dodojonovich
Ресин Владимир Иосифович,Resin Vladimir Iosifovich
Решетников Максим Геннадьевич,Reshetnikov Maksim Gennadyevich
Рогозин Дмитрий Олегович,Rogozin Dmitry Olegovich
Ромодановский Константин Олегович,Romodanovsky Konstantin Olegovich
Россель Эдуард Эргартович,Rossel Eduard Ergartovich
Ротенберг Аркадий Романович,Rotenberg Arkady Romanovich
Сафонов Олег Александрович,Safonov Oleg Aleksandrovich
Сердюков Анатолий Эдуардович,Serdyukov Anatoly Eduardovich
Сердюков Валерий Павлович,Serdyukov Valery Pavlovich
Серышев Анатолий Анатольевич,Seryshev Anatoly Anatolyevich
Сечин Игорь Иванович,Sechin Igor Ivanovich
Сидякин Александр Геннадьевич,Sidyakin Aleksandr Gennadyevich
Силуанов Антон Германович,Silyanov Anton Germanovich
Скворцова Вероника Игоревна,Skvortsova Veronika Igorevna
Скрынник Елена Борисовна,Skrynnik Elena Borisovna
Слиска Любовь Константиновна,Sliska Lyubov Konstantinovna
Слуцкий Леонид Эдуардович,Slutsky Leonid Eduardovich
Слюняев Игорь Николаевич,Slyunyaev Igor Nikolaevich
Собчак Ксения Анатольевна,Sobchak Ksenia Anatolyevna
Собянин Сергей Семенович,Sobyanin Sergei Semyonovich
Соколов Александр Сергеевич,Sokolov Aleksandr Sergeevich
Соколов Максим Юрьевич,Sokolov Maksim Yuryevich
Степашин Сергей Вадимович,Stepashin Sergei Vadimovich
Сурков Владислав Юрьевич,Surkov Vladislav Yuryevich
Суровикин Сергей Владимирович,Surovikin Sergei Vladimirovich
Тепилин Максим Анатольевич,Tepilin Maksim Anatolyevich
Тимакова Наталья Александровна,Timakova Natalia Aleksandrovna
Тимченко Геннадий Николаевич,Timchenko Gennady Nikolaevich
Титов Борис Юрьевич,Titov Boris Yuryevich
Ткачев Александр Николаевич,Tkachev Aleksandr Nikolaevich
Токарев Николай Петрович,Tokachev Nikolai Petrovich
Топилин Максим Анатольевич,Topilin Maksim Anatolyevich
Торшин Александр Порфирьевич,Torshin Aleksandr Porfiryevich
Тринога Михаил Иванович,Trinoga Mikhail Ivanovich
Трутнев Юрий Петрович,Trutnev Yuri Petrovich
Тулеев Аман Гумирович,Tuleev Aman Gumirovich
Тулеев Амангельды Молдагазыевич,Tuleev Aman Gumirovich
Турчак Андрей Анатольевич,Turchak Andrei Anatolyevich
Улюкаев Алексей Валентинович,Ulyukaev Aleksei Valentirovich
Усманов Алишер Бурханович,Usmanov Alisher Burkhamovich
Устинов Владимир Васильевич,Ustinov Vladimir Vasilyevich
Ушаков Юрий Викторович,Ushakov Yuri Viktorovich
Фальков Валерий Николаевич,Falkov Valery Nikolaevich
Фрадков Михаил Ефимович,Fradkov Mikhail Efimovich
Фридман Михаил Маратович,Fridman Mikhail Maratovich
Фурсенко Андрей Александрович,Fursenko Andrei Aleksandrovich
Фёдоров Николай Васильевич,Fyodorov Nikolai Vasilyevich
Хабиров Радий Фаритович,Khabirmov Radiy Faritovich
Хамитов Рустэм Закиевич,Khamitov Rustem Zakievich
Харичев Александр Дмитриевич,Kharichev Aleksandr Dmitrievich
Хлопонин Александр Геннадиевич,Khloponin Aleksandr Gennadievich
Холманских Игорь Рюрикович,Kholmanskikh Igor Ryurikovich
Христенко Виктор Борисович,Khristenko Viktor Borisovich
Хуснуллин Марат Шакирзянович,Khusnullin Marat Shakirzyanovich
Чайка Юрий Яковлевич,Chaika Yuri Yakovlevich
Чемезов Сергей Викторович,Chemezov Sergei Viktorovich
Черкесов Виктор Васильевич,Cherkesov Viktor Vasilyevich
Чернышенко Дмитрий Николаевич,Chernyshenko Dmitry Nikolaevich
Чеснаков Алексей Александрович,Chesnakov Aleksei Aleksandrovich
Чиханчин Юрий Анатольевич,Chikhanchin Yuri Anatolyevich
Чубайс Анатолий Боpисович,Chubais Anatoly Borisovich
Чубайс Анатолий Борисович,Chubais Anatoly Borisovich
Чуйченко Константин Анатольевич,Chuychenko Konstantin Anatolyevich
Чуркин Виталий Иванович,Churkin Vitaly Ivanovich
Чуров Владимир Евгеньевич,Churov Vladimir Yevgenyevich
Шадаев Максут Игоревич,Shadaev Maksut Igorevich
Шаймиев Минтимеp Шаpипович,Shaimiev Mintimer Sharipovich
Шаймиев Минтимер Шарипович,Shaimiev Mintimer Sharipovich
Шальков Дмитрий Владиславович,Shalkov Dmitry Vladislavovich
Шанцев Валерий Павлинович,Shantsev Valery Pavlinovich
Швыдкой Михаил Ефимович,Shvydkoy Mikhail Efimovich
Школов Евгений Михайлович,Shkolov Yevgeny Mikhailovich
Шматко Сергей Иванович,Shmatko Sergei Ivanovich
Шмелева Елена Владимировна,Shmeleva Elena Vladimirovna
Шойгу Сеpгей Кужугетович,Shoigu Sergei Kuzhugetovich
Шойгу Сергей Кужугетович,Shoigu Sergei Kuzhugetovich
Шохин Александр Николаевич,Shokhin Aleksandr Nikolaevich
Шувалов Игорь Иванович,Shuvalov Igor Ivanovich
Щеголев Игорь Олегович,Shchegolev Igor Olegovich
Эрнст Константин Львович,Ernst Konstantin Lvovich
Юмашев Валентин Борисович,Yumashev Valentin Borisovich
Юргенс Игорь Юрьевич,Yurgens Igor Yuryevich
Явлинский Григорий Алексеевич,Yavlinsky Grigory Alekseevich
Яковлев Владимир Анатольевич,Yakovlev Vladimir Anatolyevich
Якунин Владимир Иванович,Yakunin Vladimir Ivanovich
Якушев Владимир Владимирович,Yakushev Vladimir Vladimirovich
Ярин Андрей Вениаминович,Yarin Andrei Veniaminovich
Яровая Ирина Анатольевна,Yarovaya Irina Anatolyevna
Ястржембский Сергей Владимирович,Yastrzhembsky Sergei Vladimirovich